Galaxy,Ca_obs,H_obs,H_alpha_obs
NGC 1357,3962.9,3997.8,6607.5
NGC 1832,3959.8,3994.7,6606.7
NGC 2276,3966.8,3996.2,6615.2
NGC 2775,3953.6,3989.3,6592
NGC 2903,3937.4,3971.5,6574.2
NGC 3034,3935,3972.2,6564.1
NGC 3147,3969.1,4001.7,6621.4
NGC 3227,3949.8,3984.6,6606.7
NGC 3245,3949,3984.6,6611.3
NGC 3310,3976.1,3986.9,6579.6
NGC 3368,3946.7,3980.7,6583.5
NGC 3471,3938.9,3985.4,6610.6
NGC 3516,3949,3998.6,6612.9
NGC 3623,3940.5,3976.9,6601.3
NGC 3627,3943.6,3977.6,6578.8
NGC 3941,3946.7,3980.7,6603.6
NGC 4472,3950.5,3979.2,6613.7
NGC 4631,3939.7,3980.0,6578
NGC 4775,3958.3,3990,6595.8
NGC 5248,3945.9,3980.7,6585.8
NGC 5548,3947.4,4002.4,6674.9
NGC 5866,3936.6,3972.2,6547.8
NGC 6181,3966.8,4000.1,6609.8
NGC 6217,3949.8,3985.4,6589.6 
NGC 6643,3952.1,3986.2,6593.5
NGC 6764,3957.5,4008.6,6609.8
NGC 7469,3954.4,3983.8,6662.5
